scheme_id,scheme_name,category_name,fwd_return,fwd_alpha,hist_return,hist_volatility,hist_hit_rate,max_drawdown,max_tenure_years,num_managers,aum_percentile,ter,cohort,is_team
4417,Quantum ELSS Tax Saver Fund,ELSS,0.6155834564254062,-0.038288523766615845,0.13120848824094578,0.16344022997013316,0.1388888888888889,-0.2091566063745353,5.021218343600274,1.0,0.37485626676887696,1.23,2013,0
5213,Quantum Value Fund,Value Fund,0.6156934306569343,-0.13140336733109204,0.14357262103505833,0.16403798798740277,0.16666666666666666,-0.20158597662771285,7.1649555099247095,2.0,0.781908777309314,1.23,2013,1
4417,Quantum ELSS Tax Saver Fund,ELSS,0.4106012658227848,-0.11392732033657615,1.0029579547855483,0.1531596644366821,0.25,-0.10173541740118307,6.020533880903491,1.0,0.4899497487437186,1.23,2014,0
5213,Quantum Value Fund,Value Fund,0.4149159663865546,-0.15676815933421584,0.9905906952430736,0.15368203484054896,0.25,-0.10650658404337723,8.164271047227926,2.0,0.8723618090452261,1.23,2014,1
1923,Invesco India Contra Fund,Contra Fund,0.5762233375156838,0.113829679476326,0.8196347031963471,0.1808890381954894,0.6571428571428571,-0.1963470319634703,0.0,0.0,0.7737208147044212,1.23,2015,0
1930,BANDHAN ELSS Tax Saver Fund,ELSS,0.4434713615683596,0.035967850661235645,0.7556954436450838,0.14193853291690564,0.5428571428571428,-0.10033149950627733,2.639288158795346,2.0,0.8919523099850969,1.23,2015,1
1931,BANK OF INDIA ELSS Tax Saver,ELSS,0.3573829842254978,-0.05012052668162614,0.6733016010385116,0.13126082061162583,0.45714285714285713,-0.06838709677419355,0.0,0.0,0.613263785394933,1.23,2015,0
1936,Invesco India ELSS Tax Saver Fund,ELSS,0.4557823129251701,0.04827880201804613,0.8338323353293409,0.15228365538350572,0.6285714285714286,-0.1187624750499002,7.039014373716633,2.0,0.8596621957277695,1.23,2015,1
1942,Nippon India ELSS Tax Saver Fund,ELSS,0.2405484103702872,-0.16695510053683674,0.9165704113105219,0.22191130482866017,0.5142857142857142,-0.18829617669585377,10.272416153319645,1.0,0.9766517635370094,1.23,2015,0
1944,quant ELSS Tax Saver Fund,ELSS,0.4940151672737769,0.08651165636665298,0.6877153354197854,0.14407242967214337,0.4857142857142857,-0.15338685535447,2.6913073237508556,2.0,0.35494287133631397,1.23,2015,1
1949,Union ELSS Tax Saver Fund,ELSS,0.2133870156014092,-0.19411649530571473,0.48950524737631157,0.13533534831913976,0.37142857142857144,-0.09478021978021978,4.0219028062970565,1.0,0.7051664182811723,1.23,2015,0
1954,BANDHAN Flexi Cap Fund,Flexi Cap Fund,0.253629262077983,-0.12628081245194267,0.8956505601724627,0.15288677199938674,0.5714285714285714,-0.127935916371984,0.31485284052019163,2.0,0.992548435171386,1.23,2015,1
1972,quant Flexi Cap Fund,Flexi Cap Fund,0.4365284482805329,0.05661837375060724,0.6399768971032522,0.24322497088858988,0.4857142857142857,-0.29495290563355253,2.6858316221765914,1.0,0.3007948335817188,1.23,2015,0
1982,Union Flexi Cap Fund,Flexi Cap Fund,0.2751810401579987,-0.10472903437192693,0.38468550592525075,0.13611432805962986,0.2571428571428571,-0.11634671320535195,4.558521560574949,1.0,0.7883755588673621,1.23,2015,0
1985,Bandhan Focused Fund,Focused Fund,0.4412735920506529,0.047104517139078594,0.3208090750855291,0.1287455126104521,0.37142857142857144,-0.10149049169093713,3.238877481177276,2.0,0.7871336313959265,1.23,2015,1
1993,Nippon India Focused Fund,Focused Fund,0.3202811358202896,-0.07388793909128472,1.135831832989107,0.18253874535387443,0.5714285714285714,-0.1606703076357987,0.0,0.0,0.9619970193740686,1.23,2015,0
1995,quant Focused Fund,Focused Fund,0.3273340013531684,-0.0668350735584059,0.9235286849800255,0.13589458068998223,0.6857142857142857,-0.13730900704254356,7.337440109514032,3.0,0.3353204172876304,1.23,2015,1
2003,Bandhan Large & Mid Cap Fund,Large & Mid Cap Fund,0.4757526121162485,0.06505400204311201,0.41156069364161846,0.12662106458753322,0.42857142857142855,-0.11014626029076896,3.7973990417522243,2.0,0.8229011425732737,1.23,2015,1
2004,BANK OF INDIA Large & Mid Cap Fund,Large & Mid Cap Fund,0.2664983772087991,-0.14420023286433736,0.5169584245076586,0.13368684453254062,0.37142857142857144,-0.08643326039387308,0.0,0.0,0.7215598609041232,1.23,2015,0
2008,Invesco India Large & Mid Cap Fund,Large & Mid Cap Fund,0.5124420075917334,0.10174339751859696,0.6779900920028307,0.13491654957345486,0.45714285714285713,-0.0799716914366596,0.0,0.0,0.6313959264778937,1.23,2015,0
2019,Nippon India Vision Large & Mid Cap Fund,Large & Mid Cap Fund,0.246028119016673,-0.16467049105646345,0.5887056754713461,0.1978820523971868,0.45714285714285713,-0.19936809688588997,12.583162217659138,1.0,0.5988574267262792,1.23,2015,0
2022,quant Large & Mid Cap Fund,Large & Mid Cap Fund,0.3882977724529308,-0.02240083762020567,0.8760269436185054,0.16385727686456056,0.5428571428571428,-0.17941744289277511,9.05407255304586,2.0,0.35792349726775957,1.23,2015,1
2024,Tata Large & MId Cap Fund,Large & Mid Cap Fund,0.3257119640203353,-0.08498664605280115,0.7476329565028454,0.12972317033496628,0.5714285714285714,-0.06610362353088749,2.565366187542779,2.0,0.4324391455538997,1.23,2015,1
2032,BANDHAN Large Cap Fund,Large Cap Fund,0.4044461242440902,0.020111841840760036,0.3334860598840807,0.13594219755690584,0.4,-0.11182984153339406,0.31485284052019163,2.0,0.8753104818678589,1.23,2015,1
2035,Groww Largecap Fund (formerly known as Indiabulls Blue Chip Fund),Large Cap Fund,0.4434270765206017,0.05909279411727153,0.41051660516605165,0.13103551083658257,0.42857142857142855,-0.10055350553505535,3.887748117727584,1.0,0.46100347739692005,1.23,2015,0
2044,Invesco India Largecap Fund,Large Cap Fund,0.3839327417094816,-0.0004015406938485677,0.6025449101796406,0.13299304327704886,0.5428571428571428,-0.08047690014903129,0.0,0.0,0.5109289617486339,1.23,2015,0
2050,Nippon India Large Cap Fund,Large Cap Fund,0.4596434467644478,0.07530916436111762,0.6450310920173216,0.15522675131970887,0.4857142857142857,-0.13657912559259539,8.396988364134154,2.0,0.9433681073025335,1.23,2015,1
2056,Tata Large Cap Fund,Large Cap Fund,0.3471586546822707,-0.03717562772105948,0.5117476562399803,0.12258445068685155,0.4857142857142857,-0.06456108212622881,0.0,0.0,0.9232488822652757,1.23,2015,0
2065,Invesco India Midcap Fund,Mid Cap Fund,0.4558662280701754,0.1110055394634013,1.1013824884792625,0.18722647223716113,0.5428571428571428,-0.1814516129032258,0.0,0.0,0.7173373075012419,1.23,2015,0
2071,Nippon India Growth Mid Cap Fund,Mid Cap Fund,0.3611677127974575,0.016307024190683417,0.6468109960049017,0.1729670254026731,0.37142857142857144,-0.1851154725024612,0.0,0.0,0.9826130153999006,1.23,2015,0
2073,quant Mid Cap Fund,Mid Cap Fund,0.260248620790578,-0.08461206781619612,0.4813618330763486,0.05591570018792888,0.34285714285714286,-0.06164606651269426,3.082819986310746,2.0,0.4704421261798311,1.23,2015,1
2075,Tata Mid Cap Fund,Mid Cap Fund,0.3035902796610249,-0.04127040894574918,1.2244967822872377,0.17446052620332572,0.6285714285714286,-0.1441677260174464,3.7453798767967146,1.0,0.912568306010929,1.23,2015,0
2082,Baroda BNP Paribas MULTI CAP FUND,Multi Cap Fund,0.2667013257083442,-0.07412202189609807,0.4989285018507696,0.14944684648572276,0.2857142857142857,-0.12935904928891487,9.749486652977414,2.0,0.8499751614505713,1.23,2015,1
2084,Invesco India Multicap Fund,Multi Cap Fund,0.3535704733886066,0.012747125784164315,1.118413597733711,0.1817002003930953,0.6,-0.15127478753541077,0.0,0.0,0.8800298062593145,1.23,2015,0
2090,Nippon India Multi Cap Fund,Multi Cap Fund,0.3164527175806335,-0.024370630023808793,0.7297957977078406,0.15746751596702033,0.45714285714285713,-0.14801027833363653,10.751540041067761,1.0,0.9955290611028316,1.23,2015,0
2092,quant Multi Cap Fund,Multi Cap Fund,0.3524468518440868,0.011623504239644533,0.9084086401335233,0.16252648522815252,0.4857142857142857,-0.17421878125875245,7.84394250513347,2.0,0.41902632886239444,1.23,2015,1
2107,BANDHAN Infrastructure Fund,Sectoral/ Thematic,0.3647824178850175,0.005025924899815681,0.3510632113750246,0.19229261131887246,0.34285714285714286,-0.22351272482066664,2.510609171800137,2.0,0.7921013412816692,1.23,2015,1
2114,BANK OF INDIA Manufacturing & Infrastructure Fund,Sectoral/ Thematic,0.2654867256637168,-0.09426976732148501,0.508495145631068,0.20413806386109012,0.2857142857142857,-0.2196601941747573,2.414784394250513,1.0,0.4438648782911078,1.23,2015,0
2115,Baroda BNP Paribas Banking and Financial Services Fund,Sectoral/ Thematic,0.49226630800269,0.1325098150174882,0.22791081750619338,0.27116627111829333,0.37142857142857144,-0.319570602807597,3.5236139630390144,1.0,0.6286636860407352,1.23,2015,0
2134,Invesco India Financial Services Fund,Sectoral/ Thematic,0.6831335866705642,0.32337709368536244,0.4206810631229234,0.2432936675965519,0.4,-0.27782392026578073,0.0,0.0,0.6577247888723299,1.23,2015,0
2137,Invesco India Infrastructure Fund,Sectoral/ Thematic,0.3233137829912023,-0.03644270999399951,0.8138297872340424,0.2106417541611085,0.5428571428571428,-0.21941489361702127,0.0,0.0,0.5712866368604074,1.23,2015,0
2141,Invesco India PSU Equity Fund,Sectoral/ Thematic,0.2812061711079944,-0.0785503218772074,0.3478260869565217,0.2136501133984454,0.4,-0.2844990548204159,5.1416837782340865,2.0,0.7466467958271237,1.23,2015,1
2156,Nippon India Banking & Financial Services Fund,Sectoral/ Thematic,0.6253965798329301,0.2656400868477283,0.3850676568129122,0.2691988063970044,0.4,-0.332287573146645,5.330595482546201,2.0,0.970193740685544,1.23,2015,1
2158,Nippon India Consumption Fund,Sectoral/ Thematic,0.1068210768967596,-0.25293541608844217,0.5385140176408664,0.18876145078901155,0.45714285714285713,-0.16707208634417064,0.0,0.0,0.6530054644808743,1.23,2015,0
